DATE,INTGSBGBM193N
1960-01-01,5.7724999993333333
1961-01-01,6.2833333324166667
1962-01-01,5.8966666659166667
1963-01-01,5.4241666658333333
1964-01-01,5.9808333325833333
1965-01-01,6.5566666657500000
1966-01-01,6.9358333324166667
1967-01-01,6.8008333325833333
1968-01-01,7.5483333325000000
1969-01-01,9.0433333329166667
1970-01-01,9.2200000000000000
1971-01-01,8.9041666666666667
1972-01-01,8.9025000000000000
1973-01-01,10.7125000000000000
1974-01-01,14.7658333333333333
1975-01-01,14.3925000000000000
1976-01-01,14.4300000000000000
1977-01-01,12.7250000000000000
1978-01-01,12.4691666666666667
1979-01-01,12.9875000000000000
1980-01-01,13.7850000000000000
1981-01-01,14.7425000000000000
1982-01-01,12.8800000000000000
1983-01-01,10.8050000000000000
1984-01-01,11.1275000000000000
1985-01-01,10.9700000000000000
1986-01-01,10.1350000000000000
1987-01-01,9.5708333333333333
1988-01-01,9.6758333333333333
1989-01-01,10.1908333333333333
1990-01-01,11.8025000000000000
1991-01-01,10.1050000000000000
1992-01-01,9.0633333333333333
1993-01-01,7.5504416666666667
1994-01-01,8.1221000000000000
1995-01-01,8.2002833333333333
1996-01-01,7.8101833333333333
1997-01-01,7.0525916666666667
1998-01-01,5.5509583333333333
1999-01-01,5.0935250000000000
2000-01-01,5.3289750000000000
2001-01-01,4.9295000000000000
2002-01-01,4.8942416666666667
2003-01-01,4.5265916666666667
2004-01-01,4.8822666666666667
2005-01-01,4.4138916666666667
2006-01-01,4.5016750000000000
2007-01-01,5.0112750000000000
2008-01-01,4.5907250000000000
2009-01-01,3.6475166666666667
2010-01-01,3.6244250000000000
2011-01-01,3.1359916666666667
2012-01-01,1.9180416666666667
2013-01-01,2.3897833333333333
2014-01-01,2.5690833333333333
2015-01-01,1.9010333333333333
2016-01-01,1.3052083333333333
2017-01-01,1.2358083333333333
2018-01-01,1.4606583333333333
2019-01-01,0.93582500000000000000
