DATE,FPCPITOTLZGGBR
1960-01-01,1.00357570390171
1961-01-01,3.4474962304662
1962-01-01,4.19649888238551
1963-01-01,2.01854355976227
1964-01-01,3.28158694697213
1965-01-01,4.77377455386915
1966-01-01,3.90961779211888
1967-01-01,2.48211560474808
1968-01-01,4.69742798827244
1969-01-01,5.44666363048887
1970-01-01,6.36656841727438
1971-01-01,9.44483742337138
1972-01-01,7.07109839479793
1973-01-01,9.1960331665781
1974-01-01,16.0440111889862
1975-01-01,24.2072876743291
1976-01-01,16.5595225588084
1977-01-01,15.8402667458767
1978-01-01,8.26314103860768
1979-01-01,13.4212799774013
1980-01-01,17.9659242656858
1981-01-01,11.8766265142296
1982-01-01,8.59886383332181
1983-01-01,4.60930327269783
1984-01-01,4.96071097821929
1985-01-01,6.07139434015118
1986-01-01,3.42760940369308
1987-01-01,4.14892232052949
1988-01-01,4.15535171583102
1989-01-01,5.76024909185262
1990-01-01,8.06346090938833
1991-01-01,7.46178295746933
1992-01-01,4.59154929577464
1993-01-01,2.55857796929707
1994-01-01,2.21901260504202
1995-01-01,2.69749518304432
1996-01-01,2.85178236397748
1997-01-01,2.20114313510882
1998-01-01,1.82056163731558
1999-01-01,1.7529508005142
2000-01-01,1.18295624210404
2001-01-01,1.53234960272418
2002-01-01,1.52040245947458
2003-01-01,1.3765003854201
2004-01-01,1.39039756680426
2005-01-01,2.08913649025072
2006-01-01,2.45566166439288
2007-01-01,2.38656150773328
2008-01-01,3.52140856342537
2009-01-01,1.96173173560107
2010-01-01,2.49265472467065
2011-01-01,3.85611244682819
2012-01-01,2.57323479654528
2013-01-01,2.29166666666666
2014-01-01,1.45112016293279
2015-01-01,0.368046842325369
2016-01-01,1.00841736811403
2017-01-01,2.55775577557754
2018-01-01,2.29283990345939
2019-01-01,1.73810460086511
